AngelList, angel.co, Jobs
LinkedIn, linkedin.com, Jobs
Datacamp, app.datacamp.com/learn, Learn
LeetCode, leetcode.com, Practice
Kaggle, kaggle.com, Practice
blank
Khan Academy, khanacademy.org/economics-finance-domain, Learn
blank
Feedly, feedly.com, Readings
Reading List, library.lindylearn.io/, Readings

Indian Express, IndianExpress.com, Readings
Financial Times,        www.ft.com,                       Finance 
The Wall Street Journal,         www.wsj.com,                    Finance 
Bloomberg, www.bloomberg.com/asia, Finance
Financial Express, www.FinancialExpress.com, Finance
Money Control, www.moneycontrol.com, Finance
blank
TechCrunch, 	techcrunch.com, Startups 
Inc42, inc42.com, Startups
